Max,Min  ,STD,Kurtosis,Skewness,Class
2.984814532,1.168864276,0.147750234,15.83597845,-1.991657038,0
2.884450603,1.185363319,0.163563329,9.794410854,-1.406156965,0
2.933216173,1.137017682,0.173689204,23.4456368,-3.060910593,0
2.940840375,2.119462017,0.135658579,3.656691201,-0.836315979,0
2.931511412,1.161739076,0.130313655,26.03355118,-2.721045968,0
2.916180139,1.077837158,0.155051086,20.59180785,-2.51195713,0
2.95879043,1.314487847,0.163514139,5.5694584,-0.899628207,0
2.90687901,1.220106931,0.173777012,20.41949177,-2.810643113,0
2.888919684,1.221664193,0.15112649,14.67342406,-1.953315742,0
2.904806296,1.093977359,0.161311196,22.40968465,-2.766030635,0
2.882102095,1.279115254,0.137813121,24.45836694,-2.769287714,0
2.926870868,1.982368677,0.137926026,4.007186233,-0.897746694,0
2.899798279,1.025828224,0.177441846,15.60319152,-2.135712894,0
2.905450026,1.971713873,0.155267717,3.271140286,-0.687754533,0
2.924120666,1.212452088,0.160685102,12.15933247,-1.676952437,0
2.928038076,1.165436952,0.15348437,13.51031689,-1.740012103,0
2.89206216,1.21123055,0.139526768,11.44521081,-1.53013957,0
2.857331013,1.120015245,0.148337017,27.68189503,-3.265646728,0
2.934104857,1.235138111,0.155771354,7.333061435,-1.13912362,0
2.971611942,1.284624861,0.167077415,8.654860794,-1.2715825,0
2.919832513,1.21229913,0.149999482,12.22808726,-1.600675912,0
2.8951288,1.209669992,0.169248212,20.91901868,-2.750225499,0
2.873349451,1.227002422,0.141193348,10.43505848,-1.456038137,0
2.968100973,1.164442668,0.147052421,23.27046278,-2.67451956,0
2.898024238,1.215658891,0.157956011,19.19863923,-2.525339482,0
2.904877979,1.295890836,0.156111398,6.358344562,-0.993612078,0
2.982940651,1.200433433,0.173882886,12.5981692,-1.760734703,0
2.348546434,0.941019289,0.137127998,23.96752705,-3.176691821,0
2.423806998,1.042839061,0.125239199,13.11488888,-1.707267073,0
2.990143543,1.119173266,0.142317227,19.62771765,-2.228111506,0
2.405403537,1.018457116,0.107999887,31.5002975,-3.31730034,0
2.393310588,0.979894611,0.134656182,9.967350094,-1.3898599,0
2.396063871,0.928341862,0.146765059,25.936398,-3.389051583,0
2.428641019,1.797343336,0.110519758,3.432029651,-0.792511523,0
2.37615986,1.004925147,0.124818203,23.90221549,-3.034889505,0
2.415269486,0.934395084,0.145969591,19.79227681,-2.615150757,0
2.397374293,0.952737357,0.127472469,17.99662016,-2.265376086,0
2.439274661,0.93149373,0.135442703,27.5619224,-3.303660842,0
2.364299396,0.972271134,0.119473326,21.3564951,-2.523262279,0
2.369266396,0.9646841,0.118674139,24.711665,-2.916458136,0
2.961665233,1.217557033,0.155919724,18.30617254,-2.321017979,0
2.366137964,0.899788474,0.143477147,13.02523496,-1.832959557,0
2.37339289,0.915141799,0.126140546,20.92611467,-2.587334158,0
2.337236662,0.934676429,0.12629497,22.18123314,-2.781256028,0
